bert_match_type,llm_match_type,eth_match_type,bert_label_gold,bert_gold_start,bert_gold_end,bert_gold_text,bert_sentence
N,N,N,sdrug,303.0,311.0,TOPALGIC,"Information has been received from an agency concerning a 36 year old male with major depression since 02-AUG-2010 (untreated) who was hospitalized on 02-OCT-2010 for suicide attempt on the same date (at 3: pm) by ingestion of the following drugs: montelukast sodium chewable tablet, oral tramadol HCl (TOPALGIC), oral tranexamic acid (EXACYL) and oral domperidone (the amount not reported for all of them)."
C,C,N,sdrug,314.0,334.0,oral tranexamic acid,"Information has been received from an agency concerning a 36 year old male with major depression since 02-AUG-2010 (untreated) who was hospitalized on 02-OCT-2010 for suicide attempt on the same date (at 3: pm) by ingestion of the following drugs: montelukast sodium chewable tablet, oral tramadol HCl (TOPALGIC), oral tranexamic acid (EXACYL) and oral domperidone (the amount not reported for all of them)."
M,N,N,sdrug,336.0,342.0,EXACYL,"Information has been received from an agency concerning a 36 year old male with major depression since 02-AUG-2010 (untreated) who was hospitalized on 02-OCT-2010 for suicide attempt on the same date (at 3: pm) by ingestion of the following drugs: montelukast sodium chewable tablet, oral tramadol HCl (TOPALGIC), oral tranexamic acid (EXACYL) and oral domperidone (the amount not reported for all of them)."
M,M,N,sdrug,353.0,364.0,domperidone,"Information has been received from an agency concerning a 36 year old male with major depression since 02-AUG-2010 (untreated) who was hospitalized on 02-OCT-2010 for suicide attempt on the same date (at 3: pm) by ingestion of the following drugs: montelukast sodium chewable tablet, oral tramadol HCl (TOPALGIC), oral tranexamic acid (EXACYL) and oral domperidone (the amount not reported for all of them)."
M,C,N,temporal,85.0,94.0,14Aug2020,Information was received by Celgene from business partner (AGIOS Pharmaceuticals) on 14Aug2020.
M,C,N,temporal,23.0,34.0,18/JUL/2018,Initial Receipt Date = 18/JUL/2018.
M,C,N,temporal,23.0,34.0,18/JUL/2018,Initial Receipt Date = 18/JUL/2018.
M,N,N,temporal,23.0,34.0,25/JUL/2018,Initial Receipt Date = 25/JUL/2018.
M,N,N,temporal,114.0,128.0,12 hours after,"Initial acetaminophen concentration was reported as less than 1 ug/mL. A repeat acetaminophen level approximately 12 hours after presentation was 332 ug/mL with AST, 2312 U/L; ALT, 1196 U/L. Oral N-acetylcysteine therapy was initiated and the following day, the acetaminophen level was 700 ug/mL. Despite vasopressor support, systolic blood pressure remained 70-90 mmHg."
M,N,N,treatment,191.0,220.0,Oral N-acetylcysteine therapy,"Initial acetaminophen concentration was reported as less than 1 ug/mL. A repeat acetaminophen level approximately 12 hours after presentation was 332 ug/mL with AST, 2312 U/L; ALT, 1196 U/L. Oral N-acetylcysteine therapy was initiated and the following day, the acetaminophen level was 700 ug/mL. Despite vasopressor support, systolic blood pressure remained 70-90 mmHg."
N,N,N,temporal,235.0,256.0,and the following day,"Initial acetaminophen concentration was reported as less than 1 ug/mL. A repeat acetaminophen level approximately 12 hours after presentation was 332 ug/mL with AST, 2312 U/L; ALT, 1196 U/L. Oral N-acetylcysteine therapy was initiated and the following day, the acetaminophen level was 700 ug/mL. Despite vasopressor support, systolic blood pressure remained 70-90 mmHg."
M,N,N,treatment,305.0,324.0,vasopressor support,"Initial acetaminophen concentration was reported as less than 1 ug/mL. A repeat acetaminophen level approximately 12 hours after presentation was 332 ug/mL with AST, 2312 U/L; ALT, 1196 U/L. Oral N-acetylcysteine therapy was initiated and the following day, the acetaminophen level was 700 ug/mL. Despite vasopressor support, systolic blood pressure remained 70-90 mmHg."
M,N,N,lab,326.0,369.0,systolic blood pressure remained 70-90 mmHg,"Initial acetaminophen concentration was reported as less than 1 ug/mL. A repeat acetaminophen level approximately 12 hours after presentation was 332 ug/mL with AST, 2312 U/L; ALT, 1196 U/L. Oral N-acetylcysteine therapy was initiated and the following day, the acetaminophen level was 700 ug/mL. Despite vasopressor support, systolic blood pressure remained 70-90 mmHg."
M,C,N,lab,32.0,55.0,serum glucose 162 mg/dL,"Initial blood test results were serum glucose 162 mg/dL, arterial pH 7.4, PaO2/FiO2 ratio 350, HCO3- 18 mmol/L, lactate 2.2 mmol/L, creatinine 22 mg/dL, urea 16 mg/dL, aspartate aminotransferase 15 U/L, alanine aminotransferase 13 U/L, gamma glutamyl transferase 10 U/L,"
M,N,N,lab,57.0,72.0,arterial pH 7.4,"Initial blood test results were serum glucose 162 mg/dL, arterial pH 7.4, PaO2/FiO2 ratio 350, HCO3- 18 mmol/L, lactate 2.2 mmol/L, creatinine 22 mg/dL, urea 16 mg/dL, aspartate aminotransferase 15 U/L, alanine aminotransferase 13 U/L, gamma glutamyl transferase 10 U/L,"
M,N,N,lab,74.0,93.0,PaO2/FiO2 ratio 350,"Initial blood test results were serum glucose 162 mg/dL, arterial pH 7.4, PaO2/FiO2 ratio 350, HCO3- 18 mmol/L, lactate 2.2 mmol/L, creatinine 22 mg/dL, urea 16 mg/dL, aspartate aminotransferase 15 U/L, alanine aminotransferase 13 U/L, gamma glutamyl transferase 10 U/L,"
M,N,N,lab,95.0,110.0,HCO3- 18 mmol/L,"Initial blood test results were serum glucose 162 mg/dL, arterial pH 7.4, PaO2/FiO2 ratio 350, HCO3- 18 mmol/L, lactate 2.2 mmol/L, creatinine 22 mg/dL, urea 16 mg/dL, aspartate aminotransferase 15 U/L, alanine aminotransferase 13 U/L, gamma glutamyl transferase 10 U/L,"
M,N,N,lab,112.0,130.0,lactate 2.2 mmol/L,"Initial blood test results were serum glucose 162 mg/dL, arterial pH 7.4, PaO2/FiO2 ratio 350, HCO3- 18 mmol/L, lactate 2.2 mmol/L, creatinine 22 mg/dL, urea 16 mg/dL, aspartate aminotransferase 15 U/L, alanine aminotransferase 13 U/L, gamma glutamyl transferase 10 U/L,"
M,N,N,lab,132.0,151.0,creatinine 22 mg/dL,"Initial blood test results were serum glucose 162 mg/dL, arterial pH 7.4, PaO2/FiO2 ratio 350, HCO3- 18 mmol/L, lactate 2.2 mmol/L, creatinine 22 mg/dL, urea 16 mg/dL, aspartate aminotransferase 15 U/L, alanine aminotransferase 13 U/L, gamma glutamyl transferase 10 U/L,"
M,N,N,lab,153.0,166.0,urea 16 mg/dL,"Initial blood test results were serum glucose 162 mg/dL, arterial pH 7.4, PaO2/FiO2 ratio 350, HCO3- 18 mmol/L, lactate 2.2 mmol/L, creatinine 22 mg/dL, urea 16 mg/dL, aspartate aminotransferase 15 U/L, alanine aminotransferase 13 U/L, gamma glutamyl transferase 10 U/L,"
M,N,N,lab,168.0,201.0,aspartate aminotransferase 15 U/L,"Initial blood test results were serum glucose 162 mg/dL, arterial pH 7.4, PaO2/FiO2 ratio 350, HCO3- 18 mmol/L, lactate 2.2 mmol/L, creatinine 22 mg/dL, urea 16 mg/dL, aspartate aminotransferase 15 U/L, alanine aminotransferase 13 U/L, gamma glutamyl transferase 10 U/L,"
M,N,N,lab,203.0,234.0,alanine aminotransferase 13 U/L,"Initial blood test results were serum glucose 162 mg/dL, arterial pH 7.4, PaO2/FiO2 ratio 350, HCO3- 18 mmol/L, lactate 2.2 mmol/L, creatinine 22 mg/dL, urea 16 mg/dL, aspartate aminotransferase 15 U/L, alanine aminotransferase 13 U/L, gamma glutamyl transferase 10 U/L,"
M,N,N,lab,236.0,269.0,gamma glutamyl transferase 10 U/L,"Initial blood test results were serum glucose 162 mg/dL, arterial pH 7.4, PaO2/FiO2 ratio 350, HCO3- 18 mmol/L, lactate 2.2 mmol/L, creatinine 22 mg/dL, urea 16 mg/dL, aspartate aminotransferase 15 U/L, alanine aminotransferase 13 U/L, gamma glutamyl transferase 10 U/L,"
M,M,N,lab,33.0,56.0,serum glucose 162 mg/dL,"Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,M,N,lab,58.0,73.0,arterial pH 7.4,"Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,M,N,lab,75.0,105.0,HCO3- 18 mmol/L (normal 24-30),"Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,M,N,lab,107.0,142.0,lactate 2.2 mmol/L (normal 0.5-1.6),"Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,M,N,lab,144.0,181.0,creatinine 22 mg/dl (normal 5.8-11.6),"Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,M,N,lab,183.0,212.0,albumin 27 g/L (normal 39-55),"Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,M,N,lab,214.0,234.0,hemoglobin 10.3 g/dL,"Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,M,N,lab,236.0,262.0,"platelet count 171,000/mm3","Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,M,N,lab,264.0,289.0,"leukocyte count 8,240/mm3","Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,M,N,lab,291.0,330.0,creatine kinase 332 U/L (normal 20-171),"Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,M,N,lab,336.0,370.0,myoglobin 1281 ug/L (normal 25-90),"Initial blood tests results were serum glucose 162 mg/dL, arterial pH 7.4, HCO3- 18 mmol/L (normal 24-30), lactate 2.2 mmol/L (normal 0.5-1.6), creatinine 22 mg/dl (normal 5.8-11.6), albumin 27 g/L (normal 39-55), hemoglobin 10.3 g/dL, platelet count 171,000/mm3, leukocyte count 8,240/mm3, creatine kinase 332 U/L (normal 20-171), and myoglobin 1281 ug/L (normal 25-90)."
M,C,C,temporal,32.0,41.0,25Jun2013,"Initial information received on 25Jun2013 an investigator in an Investigator Initiated Trial (IIT), protocol number VZ-AML-PI-0151."
M,C,N,temporal,36.0,45.0,01Jul2018,"Initial information was received on 01Jul2018 from an investigator involved in this non-Celgene sponsored clinical trial via a business partner (AbbVie, 18P-161-2406813-00), regarding a 71-year old White male patient (113456- 70108), who initiated study medications subcutaneous (SC) Azacitidine 75 mg/m2 on days 1-7 of a 28-day cycle, and blinded oral Venetoclax 100 mg daily; both beginning on 07Apr2018, for the treatment of AML diagnosed on 22Mar2018."
M,M,C,age,186.0,197.0,71-year old,"Initial information was received on 01Jul2018 from an investigator involved in this non-Celgene sponsored clinical trial via a business partner (AbbVie, 18P-161-2406813-00), regarding a 71-year old White male patient (113456- 70108), who initiated study medications subcutaneous (SC) Azacitidine 75 mg/m2 on days 1-7 of a 28-day cycle, and blinded oral Venetoclax 100 mg daily; both beginning on 07Apr2018, for the treatment of AML diagnosed on 22Mar2018."
M,C,N,sex,204.0,208.0,male,"Initial information was received on 01Jul2018 from an investigator involved in this non-Celgene sponsored clinical trial via a business partner (AbbVie, 18P-161-2406813-00), regarding a 71-year old White male patient (113456- 70108), who initiated study medications subcutaneous (SC) Azacitidine 75 mg/m2 on days 1-7 of a 28-day cycle, and blinded oral Venetoclax 100 mg daily; both beginning on 07Apr2018, for the treatment of AML diagnosed on 22Mar2018."
C,M,N,dose,296.0,304.0,75 mg/m2,"Initial information was received on 01Jul2018 from an investigator involved in this non-Celgene sponsored clinical trial via a business partner (AbbVie, 18P-161-2406813-00), regarding a 71-year old White male patient (113456- 70108), who initiated study medications subcutaneous (SC) Azacitidine 75 mg/m2 on days 1-7 of a 28-day cycle, and blinded oral Venetoclax 100 mg daily; both beginning on 07Apr2018, for the treatment of AML diagnosed on 22Mar2018."
M,N,N,temporal,308.0,334.0,days 1-7 of a 28-day cycle,"Initial information was received on 01Jul2018 from an investigator involved in this non-Celgene sponsored clinical trial via a business partner (AbbVie, 18P-161-2406813-00), regarding a 71-year old White male patient (113456- 70108), who initiated study medications subcutaneous (SC) Azacitidine 75 mg/m2 on days 1-7 of a 28-day cycle, and blinded oral Venetoclax 100 mg daily; both beginning on 07Apr2018, for the treatment of AML diagnosed on 22Mar2018."
M,M,N,dose,364.0,376.0,100 mg daily,"Initial information was received on 01Jul2018 from an investigator involved in this non-Celgene sponsored clinical trial via a business partner (AbbVie, 18P-161-2406813-00), regarding a 71-year old White male patient (113456- 70108), who initiated study medications subcutaneous (SC) Azacitidine 75 mg/m2 on days 1-7 of a 28-day cycle, and blinded oral Venetoclax 100 mg daily; both beginning on 07Apr2018, for the treatment of AML diagnosed on 22Mar2018."
M,C,N,temporal,396.0,405.0,07Apr2018,"Initial information was received on 01Jul2018 from an investigator involved in this non-Celgene sponsored clinical trial via a business partner (AbbVie, 18P-161-2406813-00), regarding a 71-year old White male patient (113456- 70108), who initiated study medications subcutaneous (SC) Azacitidine 75 mg/m2 on days 1-7 of a 28-day cycle, and blinded oral Venetoclax 100 mg daily; both beginning on 07Apr2018, for the treatment of AML diagnosed on 22Mar2018."
C,M,C,ind,415.0,431.0,treatment of AML,"Initial information was received on 01Jul2018 from an investigator involved in this non-Celgene sponsored clinical trial via a business partner (AbbVie, 18P-161-2406813-00), regarding a 71-year old White male patient (113456- 70108), who initiated study medications subcutaneous (SC) Azacitidine 75 mg/m2 on days 1-7 of a 28-day cycle, and blinded oral Venetoclax 100 mg daily; both beginning on 07Apr2018, for the treatment of AML diagnosed on 22Mar2018."
M,C,N,temporal,445.0,454.0,22Mar2018,"Initial information was received on 01Jul2018 from an investigator involved in this non-Celgene sponsored clinical trial via a business partner (AbbVie, 18P-161-2406813-00), regarding a 71-year old White male patient (113456- 70108), who initiated study medications subcutaneous (SC) Azacitidine 75 mg/m2 on days 1-7 of a 28-day cycle, and blinded oral Venetoclax 100 mg daily; both beginning on 07Apr2018, for the treatment of AML diagnosed on 22Mar2018."
M,N,N,temporal,36.0,45.0,05Oct2015,Initial information was received on 05Oct2015 from an investigator in an Investigator Initiated Trial (IIT) regarding a patient (gender and date of birth not provided) (ALB038) who received Azacitidine (dose and frequency not provided) on an unspecified date for the treatment of MDS or AML diagnosed on an unspecified date.
M,N,N,sdrug,190.0,201.0,Azacitidine,Initial information was received on 05Oct2015 from an investigator in an Investigator Initiated Trial (IIT) regarding a patient (gender and date of birth not provided) (ALB038) who received Azacitidine (dose and frequency not provided) on an unspecified date for the treatment of MDS or AML diagnosed on an unspecified date.
M,N,N,medical history,287.0,290.0,AML,Initial information was received on 05Oct2015 from an investigator in an Investigator Initiated Trial (IIT) regarding a patient (gender and date of birth not provided) (ALB038) who received Azacitidine (dose and frequency not provided) on an unspecified date for the treatment of MDS or AML diagnosed on an unspecified date.
M,C,N,temporal,36.0,45.0,11Jan2019,"Initial information was received on 11Jan2019, from an investigator involved in this non-Celgene sponsored study via a business partner AbbVie (), in which Azacitidine considered as non-IMP."
M,N,N,temporal,36.0,45.0,13Jan2013,"Initial information was received on 13Jan2013 from an investigator regarding an 81 year-old female patient (011-1002), who initiated study medication subcutaneous azacitidine injectable 75mg/sqm daily on 28Nov2012 for the treatment of myelodysplastic syndrome (chronic myelomonocytic leukemia)."
M,N,N,age,80.0,91.0,81 year-old,"Initial information was received on 13Jan2013 from an investigator regarding an 81 year-old female patient (011-1002), who initiated study medication subcutaneous azacitidine injectable 75mg/sqm daily on 28Nov2012 for the treatment of myelodysplastic syndrome (chronic myelomonocytic leukemia)."
M,N,N,sex,92.0,98.0,female,"Initial information was received on 13Jan2013 from an investigator regarding an 81 year-old female patient (011-1002), who initiated study medication subcutaneous azacitidine injectable 75mg/sqm daily on 28Nov2012 for the treatment of myelodysplastic syndrome (chronic myelomonocytic leukemia)."
M,N,M,sdrug,163.0,174.0,azacitidine,"Initial information was received on 13Jan2013 from an investigator regarding an 81 year-old female patient (011-1002), who initiated study medication subcutaneous azacitidine injectable 75mg/sqm daily on 28Nov2012 for the treatment of myelodysplastic syndrome (chronic myelomonocytic leukemia)."
M,N,N,dose,186.0,200.0,75mg/sqm daily,"Initial information was received on 13Jan2013 from an investigator regarding an 81 year-old female patient (011-1002), who initiated study medication subcutaneous azacitidine injectable 75mg/sqm daily on 28Nov2012 for the treatment of myelodysplastic syndrome (chronic myelomonocytic leukemia)."
M,N,N,temporal,204.0,213.0,28Nov2012,"Initial information was received on 13Jan2013 from an investigator regarding an 81 year-old female patient (011-1002), who initiated study medication subcutaneous azacitidine injectable 75mg/sqm daily on 28Nov2012 for the treatment of myelodysplastic syndrome (chronic myelomonocytic leukemia)."
C,N,C,medical history,235.0,259.0,myelodysplastic syndrome,"Initial information was received on 13Jan2013 from an investigator regarding an 81 year-old female patient (011-1002), who initiated study medication subcutaneous azacitidine injectable 75mg/sqm daily on 28Nov2012 for the treatment of myelodysplastic syndrome (chronic myelomonocytic leukemia)."
M,C,N,temporal,36.0,47.0,25/Sep/2015,"Initial information was received on 25/Sep/2015 from an investigator involved in this non-Celgene sponsored clinical trial (report number TR2015112922) regarding a 64 year-old, male, 010907, who initiated study medication Azacitidine injectable (dose and frequency not provided) together with blinded eltrombopag on 30Oct2014 for the treatment of myelodysplastic syndrome (date of diagnosis not provided)."
M,M,N,age,164.0,175.0,64 year-old,"Initial information was received on 25/Sep/2015 from an investigator involved in this non-Celgene sponsored clinical trial (report number TR2015112922) regarding a 64 year-old, male, 010907, who initiated study medication Azacitidine injectable (dose and frequency not provided) together with blinded eltrombopag on 30Oct2014 for the treatment of myelodysplastic syndrome (date of diagnosis not provided)."
M,M,N,sex,177.0,181.0,male,"Initial information was received on 25/Sep/2015 from an investigator involved in this non-Celgene sponsored clinical trial (report number TR2015112922) regarding a 64 year-old, male, 010907, who initiated study medication Azacitidine injectable (dose and frequency not provided) together with blinded eltrombopag on 30Oct2014 for the treatment of myelodysplastic syndrome (date of diagnosis not provided)."
M,C,M,sdrug,222.0,233.0,Azacitidine,"Initial information was received on 25/Sep/2015 from an investigator involved in this non-Celgene sponsored clinical trial (report number TR2015112922) regarding a 64 year-old, male, 010907, who initiated study medication Azacitidine injectable (dose and frequency not provided) together with blinded eltrombopag on 30Oct2014 for the treatment of myelodysplastic syndrome (date of diagnosis not provided)."
M,C,N,temporal,316.0,325.0,30Oct2014,"Initial information was received on 25/Sep/2015 from an investigator involved in this non-Celgene sponsored clinical trial (report number TR2015112922) regarding a 64 year-old, male, 010907, who initiated study medication Azacitidine injectable (dose and frequency not provided) together with blinded eltrombopag on 30Oct2014 for the treatment of myelodysplastic syndrome (date of diagnosis not provided)."
C,C,C,medical history,347.0,371.0,myelodysplastic syndrome,"Initial information was received on 25/Sep/2015 from an investigator involved in this non-Celgene sponsored clinical trial (report number TR2015112922) regarding a 64 year-old, male, 010907, who initiated study medication Azacitidine injectable (dose and frequency not provided) together with blinded eltrombopag on 30Oct2014 for the treatment of myelodysplastic syndrome (date of diagnosis not provided)."
M,C,N,temporal,36.0,45.0,25Apr2011,Initial information was received on 25Apr2011 by Nippon Shinyaku Co. Ltd. (Mfr.
M,C,N,temporal,36.0,47.0,28/FEB/2019,Initial information was received on 28/FEB/2019 and additional information was received on 01/MAR/2019.
M,C,N,temporal,91.0,102.0,01/MAR/2019,Initial information was received on 28/FEB/2019 and additional information was received on 01/MAR/2019.
M,C,N,ae,33.0,46.0,hypoglycaemia,"Initial laboratory values showed hypoglycaemia (0.57 g/l), lactic acidosis (pH=6.85, lactate 18 mmol/l), renal failure (creatinine 22 mg/l, urea 0.54 g/l), but normal hepatic and coagulation parameters."
M,N,N,lab,48.0,56.0,0.57 g/l,"Initial laboratory values showed hypoglycaemia (0.57 g/l), lactic acidosis (pH=6.85, lactate 18 mmol/l), renal failure (creatinine 22 mg/l, urea 0.54 g/l), but normal hepatic and coagulation parameters."
M,C,N,lab,59.0,74.0,lactic acidosis,"Initial laboratory values showed hypoglycaemia (0.57 g/l), lactic acidosis (pH=6.85, lactate 18 mmol/l), renal failure (creatinine 22 mg/l, urea 0.54 g/l), but normal hepatic and coagulation parameters."
C,N,N,lab,76.0,102.0,"pH=6.85, lactate 18 mmol/l","Initial laboratory values showed hypoglycaemia (0.57 g/l), lactic acidosis (pH=6.85, lactate 18 mmol/l), renal failure (creatinine 22 mg/l, urea 0.54 g/l), but normal hepatic and coagulation parameters."
C,C,N,lab,105.0,118.0,renal failure,"Initial laboratory values showed hypoglycaemia (0.57 g/l), lactic acidosis (pH=6.85, lactate 18 mmol/l), renal failure (creatinine 22 mg/l, urea 0.54 g/l), but normal hepatic and coagulation parameters."
C,N,N,lab,120.0,138.0,creatinine 22 mg/l,"Initial laboratory values showed hypoglycaemia (0.57 g/l), lactic acidosis (pH=6.85, lactate 18 mmol/l), renal failure (creatinine 22 mg/l, urea 0.54 g/l), but normal hepatic and coagulation parameters."
M,N,N,lab,140.0,153.0,urea 0.54 g/l,"Initial laboratory values showed hypoglycaemia (0.57 g/l), lactic acidosis (pH=6.85, lactate 18 mmol/l), renal failure (creatinine 22 mg/l, urea 0.54 g/l), but normal hepatic and coagulation parameters."
M,C,N,temporal,43.0,54.0,01 Apr 2010,Initial report received from a consumer on 01 Apr 2010: This patient started treatment with Exjade 2000 mg once a day (deferasirox) on an unspecified date for an unknown indication.
N,C,M,sdrug,92.0,98.0,Exjade,Initial report received from a consumer on 01 Apr 2010: This patient started treatment with Exjade 2000 mg once a day (deferasirox) on an unspecified date for an unknown indication.
M,N,N,dose,99.0,117.0,2000 mg once a day,Initial report received from a consumer on 01 Apr 2010: This patient started treatment with Exjade 2000 mg once a day (deferasirox) on an unspecified date for an unknown indication.
N,N,M,sdrug,119.0,130.0,deferasirox,Initial report received from a consumer on 01 Apr 2010: This patient started treatment with Exjade 2000 mg once a day (deferasirox) on an unspecified date for an unknown indication.
M,N,N,temporal,138.0,154.0,unspecified date,Initial report received from a consumer on 01 Apr 2010: This patient started treatment with Exjade 2000 mg once a day (deferasirox) on an unspecified date for an unknown indication.
M,C,N,ind,162.0,180.0,unknown indication,Initial report received from a consumer on 01 Apr 2010: This patient started treatment with Exjade 2000 mg once a day (deferasirox) on an unspecified date for an unknown indication.
M,C,N,temporal,27.0,38.0,17-Jan-2019,"Initial report received on 17-Jan-2019: This is a spontaneous report received from Eudravigilance Database Management System (EVDMS) with ADR reference number FR-AFSSAPS-NT20181766, by pharmacist."
M,N,N,lab,29.0,53.0,"heart rate, 60 beats/min","Initial vital signs included heart rate, 60 beats/min; blood pressure, 70/30 mmHg."
M,N,N,lab,55.0,81.0,"blood pressure, 70/30 mmHg","Initial vital signs included heart rate, 60 beats/min; blood pressure, 70/30 mmHg."
M,M,N,sdrug,0.0,16.0,Insulin glargine,Insulin glargine and Omacor (fish oil)/placebo were discontinued on 27-Dec-09.
M,N,N,status,52.0,64.0,discontinued,Insulin glargine and Omacor (fish oil)/placebo were discontinued on 27-Dec-09.
M,C,N,temporal,68.0,77.0,27-Dec-09,Insulin glargine and Omacor (fish oil)/placebo were discontinued on 27-Dec-09.
C,C,C,sdrug,0.0,7.0,Insulin,Insulin was administered during this hospitalization period.
M,N,N,status,37.0,52.0,hospitalization,Insulin was administered during this hospitalization period.
M,M,N,age,48.0,59.0,91-year-old,"Int-J-Clin-Pharmacol-Ther 2012; 50(4) 302-6   A 91-year-old woman developed severe hypoglycaemia following an interaction between levofloxacin, nadroparin calcium, glibenclamide [glyburide]/metformin, tramadol and buprenorphine."
M,N,N,sex,60.0,65.0,woman,"Int-J-Clin-Pharmacol-Ther 2012; 50(4) 302-6   A 91-year-old woman developed severe hypoglycaemia following an interaction between levofloxacin, nadroparin calcium, glibenclamide [glyburide]/metformin, tramadol and buprenorphine."
M,C,N,sdrug,164.0,177.0,glibenclamide,"Int-J-Clin-Pharmacol-Ther 2012; 50(4) 302-6   A 91-year-old woman developed severe hypoglycaemia following an interaction between levofloxacin, nadroparin calcium, glibenclamide [glyburide]/metformin, tramadol and buprenorphine."
M,C,M,sdrug,214.0,227.0,buprenorphine,"Int-J-Clin-Pharmacol-Ther 2012; 50(4) 302-6   A 91-year-old woman developed severe hypoglycaemia following an interaction between levofloxacin, nadroparin calcium, glibenclamide [glyburide]/metformin, tramadol and buprenorphine."
N,C,C,lab,217.0,254.0,inhibitory concentration of 200 ng/ml,"Interestingly, ketoconazole, taken by the patient for a vaginal infection before hospital admission and a potent inhibitor of CYP3A4 and, to a lesser extent, of CYP2B6, was detected in the initial plasma sample at an inhibitory concentration of 200 ng/ml."
M,N,C,treatment,0.0,23.0,Intravenous (IV) fluids,Intravenous (IV) fluids was given and the patient blood pressure climbed to the 110's.
M,N,C,lab,50.0,85.0,blood pressure climbed to the 110's,Intravenous (IV) fluids was given and the patient blood pressure climbed to the 110's.
M,M,N,sdrug,28.0,44.0,insulin glargine,Investigator’s causality to insulin glargine has changed from related to not related.
